participant_id,city,neighborhood,neighborhood_code,age,in_school,first_info_source_code,main_trusted_source_code,uses_ai,trusts_clinic_ord,trusts_social_media_ord,barrier_stigma,barrier_cost,barrier_religion,barrier_provider_judgment,barrier_distance_rural,barrier_low_awareness,barrier_count,service_stigma_aware,wants_comprehensive_sex_ed,privacy_secrecy_concern,personally_experienced_difficulty,digital_first_source
P01,Nairobi,Embakasi,1,19,1,0,0,1,0,-1,1,1,1,1,1,1,6,1,1,1,0,1
P02,Nairobi,Kileleshwa,3,19,0,1,1,0,1,-1,1,0,0,1,0,1,3,1,1,0,0,0
P03,Nairobi,Buruburu,0,13,1,1,1,0,1,-1,1,1,0,1,0,0,3,1,1,1,0,0
P04,Nairobi,Langata,4,18,1,1,1,0,1,1,1,1,1,0,0,1,4,1,0,0,0,0
P05,Nairobi,Kileleshwa,3,18,1,1,1,0,1,2,1,0,1,0,1,1,4,0,0,1,0,0
P06,Nairobi,Kibera,2,19,1,4,4,0,2,-1,1,0,0,1,0,1,3,0,0,0,0,0
P07,Nairobi,Kibera,2,19,1,5,5,0,0,-1,1,0,0,1,1,1,4,1,0,1,0,1
P08,Nairobi,Kibera,2,19,1,5,5,0,1,-1,1,1,0,0,0,1,3,0,0,0,1,1
P09,Nairobi,Kibera,2,19,1,3,3,0,-1,-1,1,1,0,0,0,1,3,0,0,0,0,0
P10,Nairobi,Kibera,2,21,0,3,3,0,0,-1,1,1,0,1,1,0,4,1,0,1,1,0
P11,Nairobi,Kibera,2,19,1,2,2,0,-1,2,1,0,1,0,0,0,2,1,0,0,0,1
P12,Nairobi,Kibera,2,19,1,6,6,0,0,-1,1,1,0,0,0,0,2,0,0,0,0,0
